actiontype,ismydoc,ext,sessionid,documentposition,datetime
OPEN,TRUE,DOC,d85463a9249357c70fd97d6b25da6957,OTHERAPP,2016.7.4
CLOSE,TRUE,DOC,d85463a9249357c70fd97d6b25da6957,OTHERAPP,2016.7.4
CLOSE,TRUE,DOC,67ce6f7f21b2446c1e4dc53f26eda6d1,OTHERAPP,2016.7.13
CLOSE,TRUE,DOCX,d85463a9249357c70fd97d6b25da6957,OTHERAPP,2016.7.4
OPEN,TRUE,DOCX,d85463a9249357c70fd97d6b25da6957,OTHERAPP,2016.7.4
CLOSE,TRUE,DOCX,4d013b2872e58be6c1a2bdd1f4f04474,OTHERAPP,2016.7.29
OPEN,TRUE,DOCX,4d013b2872e58be6c1a2bdd1f4f04474,OTHERAPP,2016.7.29
CLOSE,TRUE,DOCX,0e206fdaf70b50ac1a06fb8df434a7d7,OTHERAPP,2016.7.29
OPEN,TRUE,DOCX,0e206fdaf70b50ac1a06fb8df434a7d7,OTHERAPP,2016.7.29
OPEN,FALSE,DOCX,86c51588126e9acd0977726000feadeb,OTHERAPP,2016.7.3
CLOSE,FALSE,DOCX,86c51588126e9acd0977726000feadeb,OTHERAPP,2016.7.3
OPEN,TRUE,DOC,14f156b481663391a0014262b5a1bd08,OTHERAPP,2016.7.3
CLOSE,TRUE,DOC,14f156b481663391a0014262b5a1bd08,OTHERAPP,2016.7.3
CLOSE,FALSE,PPT,14f156b481663391a0014262b5a1bd08,OTHERAPP,2016.7.3
OPEN,FALSE,PPT,14f156b481663391a0014262b5a1bd08,OTHERAPP,2016.7.3
CLOSE,FALSE,DOC,943452570c16709cbf3ef6e8daa5ad5c,OTHERAPP,2016.7.3
OPEN,FALSE,DOC,943452570c16709cbf3ef6e8daa5ad5c,OTHERAPP,2016.7.3
CLOSE,FALSE,DOC,14f156b481663391a0014262b5a1bd08,OTHERAPP,2016.7.3
OPEN,FALSE,DOC,14f156b481663391a0014262b5a1bd08,OTHERAPP,2016.7.3
OPEN,FALSE,DOCX,5678a9a225d0fe3396023539e8e05ef6,OTHERAPP,2016.7.3
CLOSE,FALSE,DOCX,5678a9a225d0fe3396023539e8e05ef6,OTHERAPP,2016.7.3
SAVEAS,FALSE,DOCX,14f156b481663391a0014262b5a1bd08,MYPOLARISDRIVE,2016.7.3
OPEN,FALSE,DOCX,14f156b481663391a0014262b5a1bd08,OTHERAPP,2016.7.3
CLOSE,FALSE,DOCX,14f156b481663391a0014262b5a1bd08,MYPOLARISDRIVE,2016.7.3
OPEN,TRUE,DOC,86c51588126e9acd0977726000feadeb,OTHERAPP,2016.7.3
CLOSE,TRUE,DOC,86c51588126e9acd0977726000feadeb,OTHERAPP,2016.7.3
CLOSE,FALSE,DOCX,02f2e274c461b579c25f1d52429a2987,OTHERAPP,2016.7.17
OPEN,FALSE,DOCX,02f2e274c461b579c25f1d52429a2987,OTHERAPP,2016.7.17
OPEN,TRUE,DOCX,21623f90db759f10c72342169aee322e,OTHERAPP,2016.7.17
CLOSE,TRUE,DOCX,21623f90db759f10c72342169aee322e,OTHERAPP,2016.7.17
OPEN,TRUE,DOCX,a0d438cc3a9fc597d22ed31f05994732,OTHERAPP,2016.7.23
CLOSE,TRUE,DOCX,a0d438cc3a9fc597d22ed31f05994732,OTHERAPP,2016.7.23
CLOSE,TRUE,PPTX,a0d438cc3a9fc597d22ed31f05994732,OTHERAPP,2016.7.23
OPEN,TRUE,PPTX,a0d438cc3a9fc597d22ed31f05994732,OTHERAPP,2016.7.23
CLOSE,TRUE,DOC,a0d438cc3a9fc597d22ed31f05994732,OTHERAPP,2016.7.23
OPEN,TRUE,DOC,a0d438cc3a9fc597d22ed31f05994732,OTHERAPP,2016.7.23
CLOSE,FALSE,DOCX,f25c4173c662aa84ffb6420bcc351e96,OTHERAPP,2016.7.11
OPEN,FALSE,DOCX,f25c4173c662aa84ffb6420bcc351e96,OTHERAPP,2016.7.11
CLOSE,FALSE,XLS,71ead4d21089490bb768a25b867dcf4e,OTHERAPP,2016.7.13
OPEN,FALSE,XLSX,58f69e51df47786dc32907357a9b976f,OTHERAPP,2016.7.26
OPEN,FALSE,XLS,71ead4d21089490bb768a25b867dcf4e,OTHERAPP,2016.7.13
CLOSE,FALSE,XLSX,58f69e51df47786dc32907357a9b976f,OTHERAPP,2016.7.26
CLOSE,FALSE,XLS,ac9ada81282252eb1829dcfcc808ab09,OTHERAPP,2016.7.15
OPEN,TRUE,XLSX,58f69e51df47786dc32907357a9b976f,OTHERAPP,2016.7.26
RESET,TRUE,XLS,ac9ada81282252eb1829dcfcc808ab09,OTHERAPP,2016.7.15
CLOSE,TRUE,XLSX,58f69e51df47786dc32907357a9b976f,OTHERAPP,2016.7.26
OPEN,FALSE,XLS,ac9ada81282252eb1829dcfcc808ab09,OTHERAPP,2016.7.15
CLOSE,TRUE,XLSX,834f269636d5008b86ab6da9a03ce6e9,OTHERAPP,2016.7.26
OPEN,TRUE,XLSX,834f269636d5008b86ab6da9a03ce6e9,OTHERAPP,2016.7.26
OPEN,TRUE,DOC,271dcadfda6fd56fe52ca18beef5ad72,OTHERAPP,2016.7.3
CLOSE,TRUE,DOC,271dcadfda6fd56fe52ca18beef5ad72,OTHERAPP,2016.7.3
CLOSE,FALSE,XLS,b10ad8625038de2c5656ef1014564939,OTHERAPP,2016.7.25
OPEN,FALSE,XLS,b10ad8625038de2c5656ef1014564939,OTHERAPP,2016.7.25
OPEN,TRUE,DOC,1d9666b7396b3d74e5d73cbd089c5902,OTHERAPP,2016.7.12
CLOSE,TRUE,PPT,b598e57679bb5b64d8a968eede1ec6d6,OTHERAPP,2016.7.10
OPEN,TRUE,PPT,b598e57679bb5b64d8a968eede1ec6d6,OTHERAPP,2016.7.10
OPEN,TRUE,PDF,f21351cd244cb3b0fea8ee29d51dbd46,OTHERAPP,2016.7.11
CLOSE,TRUE,DOC,b598e57679bb5b64d8a968eede1ec6d6,OTHERAPP,2016.7.10
OPEN,TRUE,PDF,2c226905a249c00ef25cbb401014e10d,OTHERAPP,2016.7.11
OPEN,TRUE,DOC,b598e57679bb5b64d8a968eede1ec6d6,OTHERAPP,2016.7.10
CLOSE,TRUE,PPT,cc58799dc5ad8308bc2e3623178c4ebf,OTHERAPP,2016.7.16
OPEN,TRUE,PPT,cc58799dc5ad8308bc2e3623178c4ebf,OTHERAPP,2016.7.16
